;CO2 Prc;CO2 Vol;Germany_Baseload;BKW;RWE;Verbund
29.11.2018;20.36;6946;52;67.9;19.06;35.66
30.11.2018;20.84;3796;52.2;67.9;19.125;36.12
03.12.2018;20.99;6893;52.4;69.5;19.34;36.78
04.12.2018;21.08;8921;52.1;69.6;18.98;37.64
05.12.2018;20.02;6597;51.2;70.3;19.45;37.18
06.12.2018;20.33;10518;51.4;69.9;19.035;36.64
07.12.2018;20.64;5933;51.6;71.6;18.905;36.64
10.12.2018;21.21;12159;52.25;70.3;18.6;36.02
11.12.2018;20.51;15432;52.3;70.4;18.67;37.66
12.12.2018;21.83;23938;53.3;70.3;19.26;39.48
13.12.2018;22.67;24491;54.5;70.1;19.56;39.68
14.12.2018;23.72;24176;55.55;69.6;19.415;39.72
17.12.2018;24.6;24325;56.25;69.4;19.095;39.64
18.12.2018;24.33;26100;55.15;69.3;19.13;39
19.12.2018;24.62;17738;55.6;69.2;19.135;39.08
20.12.2018;24.47;18116;55.15;68.7;18.935;38.46
21.12.2018;24.92;9237;55.65;68.2;18.85;38.14
27.12.2018;25.01;8340;54.55;67.4;18.52;36.34
28.12.2018;24.98;7719;54.6;68.7;18.965;37.24
03.01.2019;23.32;27065;48;71.4;19.575;38.04
04.01.2019;23.73;23499;49.15;70.4;19.96;38.94
07.01.2019;22.25;32419;47.25;69.7;19.91;39.14
08.01.2019;22.84;17290;48.05;71.9;20.01;39.96
09.01.2019;22.03;31182;47.65;70;19.935;40.14
10.01.2019;22.11;24974;47.65;70.3;20.28;41.14
11.01.2019;22.74;14780;48.25;70.6;20.17;41.74
14.01.2019;22.55;17946;47.8;70.2;19.905;40.84
15.01.2019;22.62;21989;47.8;69.5;19.935;40.5
16.01.2019;23.4;35099;49.6;69.6;19.75;41.7
17.01.2019;23.67;31916;50.25;71.8;19.89;42.5
18.01.2019;24.86;28049;51;71.5;20.24;43.92
21.01.2019;24.47;16617;50.65;69.9;19.675;43.3
22.01.2019;25.21;20102;51.4;68.9;19.545;43.26
23.01.2019;24.72;23001;51.2;69.9;20.6;43.7
24.01.2019;24.07;19738;50.2;71.1;21.51;44.18
25.01.2019;23.93;18744;50.15;69.1;21.27;42.7
28.01.2019;22.77;31816;49.1;67.9;21.31;42.5
29.01.2019;23.39;26341;49.9;69;21.56;43.68
30.01.2019;23.06;24321;49.45;69.2;21.6;45
31.01.2019;22.3;24360;48.35;69.9;21.7;44.62
01.02.2019;21.99;23000;48.05;70.2;21.66;44.24
04.02.2019;23.06;24866;48.4;69.4;21.59;44.6
05.02.2019;23.17;22142;48.3;70.4;21.63;45.06
06.02.2019;23.7;26602;49.15;68.8;21.45;44.58
07.02.2019;23.48;20147;48.45;69.9;21.43;44.5
08.02.2019;22.37;27991;46.55;69.3;21.58;44
11.02.2019;22.4;31434;46.85;70;21.97;44.12
12.02.2019;20.7;36340;45;70.1;22.42;44.28
13.02.2019;20.94;54173;46;68.4;22.1;42.18
14.02.2019;19.78;38197;45;69.4;22.43;41.96
15.02.2019;20.42;27344;46.05;68.3;22.36;42.84
18.02.2019;20.01;20586;45.5;68.2;22.31;42.7
19.02.2019;20.21;20244;46.25;67.7;22.36;43.18
20.02.2019;20.48;18801;47.15;68.1;22.41;44.14
21.02.2019;18.8;41533;45.55;68.3;22.01;41.42
22.02.2019;18.94;27584;45.35;69;21.94;41
25.02.2019;19.24;29860;45.33;67.9;21.78;40.92
26.02.2019;19.66;28428;45.7;68.8;21.98;41.98
27.02.2019;21.27;35664;47.25;67.9;21.47;41.76
28.02.2019;21.69;30455;47.95;67.3;21.5;42.32
01.03.2019;22.28;24982;48.05;67.9;21.65;42.24
04.03.2019;23.13;23270;49.2;67.8;21.41;42.48
05.03.2019;22.94;18420;48.3;67;21.53;42.64
06.03.2019;22.13;23995;47.05;65.9;21.26;41.5
07.03.2019;23.27;24139;48.3;66.9;21.55;42.8
08.03.2019;23.02;21481;47.9;67.1;21.64;42.68
11.03.2019;22.28;19782;47.15;66.4;21.74;43.28
12.03.2019;22.33;26542;47.1;66.2;22.08;44
13.03.2019;22.28;19787;46.55;66.2;21.66;41.92
14.03.2019;22.74;20387;47.05;66.5;22.02;42.76
15.03.2019;22.47;19269;46.25;65.9;22.36;43.48
18.03.2019;21.82;22463;45.95;66.3;22.51;42.26
19.03.2019;21.12;20527;45.3;69;22.33;41.64
20.03.2019;21.64;54912;46.1;68.3;22.23;41.74
21.03.2019;20.94;30748;45.1;68.1;22.99;43.28
22.03.2019;20.67;26255;45;68.7;23.58;43.36
25.03.2019;20.94;30243;44.95;68.5;24.21;43.3
26.03.2019;21.54;31941;46.25;67.5;23.88;43.94
27.03.2019;21.85;29099;46.75;66.6;23.98;43.04
28.03.2019;22.26;19856;46.61;66.8;23.81;43.08
29.03.2019;21.54;18681;45.8;67.9;23.92;42.78
01.04.2019;21.91;17293;45.65;68.5;23.73;43.02
02.04.2019;22.01;18318;45.45;67.6;23.81;42.68
03.04.2019;23.16;22762;46.9;66.7;23.96;43.7
04.04.2019;24.44;30788;48.6;66.8;23.74;44.08
05.04.2019;24.6;33376;49.6;67.6;23.91;45.9
08.04.2019;24.31;24898;48.8;67.9;23.68;43.78
09.04.2019;25.53;31085;50.25;67.3;23.8;43.74
10.04.2019;26.13;48334;50.1;67.3;24.08;45.16
11.04.2019;27.32;34208;51.3;67.3;23.72;45.18
12.04.2019;26.58;23189;50.4;65.7;23.67;44.52
15.04.2019;26.81;19611;50.1;67;23.54;44.64
16.04.2019;27;21855;49.9;66.4;22.96;44
17.04.2019;27.46;18513;50.8;65;22.94;43.88
18.04.2019;26.89;15148;49.8;65.5;22.94;43.94
23.04.2019;27.53;21108;50.8;66.3;22.93;44
24.04.2019;27.4;23753;50.2;66;22.74;43.94
25.04.2019;27.28;22926;50.5;65.3;22.63;43.48
26.04.2019;25.85;26523;49;64.8;22.76;42.42
29.04.2019;26.38;15423;49.1;65;22.59;44.12
30.04.2019;26.29;13712;49.15;64.9;22.83;44.22
02.05.2019;24.7;28050;47.85;65.6;22.45;43.46
03.05.2019;25.2;17315;48.5;64.7;22.6;44.26
06.05.2019;25.33;5767;48.8;64.5;21.59;43.96
07.05.2019;26.4;19293;49.15;64.6;21.87;43.88
08.05.2019;26.91;20831;50.2;65;22.05;44.34
09.05.2019;26.5;19339;49.2;64.6;21.84;43.46
10.05.2019;25.62;25616;48.35;64.7;22.26;44.1
13.05.2019;25.03;20211;47.8;63.6;22.08;44.22
14.05.2019;25.89;18225;48.9;63.9;22.69;45.76
15.05.2019;25.97;18252;49.15;64.9;23.3;46.62
16.05.2019;25.57;19269;48.45;66;23.56;46.44
17.05.2019;25;21887;48.1;66.1;23.38;47.24
20.05.2019;25.2;15662;47.95;65.7;23.33;46.5
